articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
1-1-2015_PS,1,1,df,0,MATCH,NA
1-1-2015_PS,156,156,df,0,MATCH,NA
1-1-2015_PS,4.48,4.48,F,0,MATCH,NA
1-1-2015_PS,<.05,0.03580604725413243,p,NA,MATCH,TRUE
1-1-2015_PS,158.61,158.61,mean,0,MATCH,NA
1-1-2015_PS,155.52,155.52,mean,0,MATCH,NA
1-1-2015_PS,1,1,df,0,MATCH,NA
1-1-2015_PS,156,156,df,0,MATCH,NA
1-1-2015_PS,4.73,4.73,F,0,MATCH,NA
1-1-2015_PS,<.05,0.03119977823702155,p,NA,MATCH,TRUE
1-1-2015_PS,1648.37,1648.37,mean,0,MATCH,NA
1-1-2015_PS,1425.02,1425.02,mean,0,MATCH,NA
1-1-2015_PS,<1,2.2118017347559213,F,NA,MAJOR_ERROR,FALSE
1-1-2015_PS,>.05,0.13897706909533955,p,NA,MATCH,TRUE
1-1-2015_PS,59.34,59.34,mean,0,MATCH,NA
1-1-2015_PS,58.67,58.67,mean,0,MATCH,NA
1-1-2015_PS,1,1,df,0,MATCH,NA
1-1-2015_PS,156,156,df,0,MATCH,NA
1-1-2015_PS,4.66,4.66,F,0,MATCH,NA
1-1-2015_PS,<.05,0.032364608108578594,p,NA,MATCH,TRUE
1-1-2015_PS,196.73,196.73,mean,0,MATCH,NA
1-1-2015_PS,183.48,183.48,mean,0,MATCH,NA
1-1-2015_PS,<1,0.0019191738221850541,F,NA,MATCH,TRUE
1-1-2015_PS,>.05,0.9651131746816737,p,NA,MATCH,TRUE
1-1-2015_PS,1129.39,1129.38,mean,8.854337297116942e-4,MINOR_ERROR,NA
1-1-2015_PS,1128.81,1128.81,mean,0,MATCH,NA
1-1-2015_PS,<1,0.470511054159191,F,NA,MATCH,TRUE
1-1-2015_PS,>.05,0.4937703149762205,p,NA,MATCH,TRUE
1-1-2015_PS,42170.78,42170.78,mean,0,MATCH,NA
1-1-2015_PS,43654.54,43654.54,mean,0,MATCH,NA
